"id";"title";"description";"file_json";"user_id";"status";"date_created"
1;"GREETINGS TO NEW KLD WEBSITE ";"&lt;p&gt;Good day everyone,&lt;br&gt;To Honored professors, dear students, respected colleagues, and distinguished guests,&lt;/p&gt;&lt;p&gt;It is with immense excitement and pride that I welcome you all to this very special occasion&mdash;the launch of the new and improved KLD website. Today marks a significant step forward in our journey of fostering knowledge, connection, and innovation, and I&rsquo;m thrilled that we can share this moment together.&lt;/p&gt;&lt;p&gt;As we know, technology is no longer just a tool; it&rsquo;s a bridge that connects ideas, people, and opportunities. With that in mind, our mission at KLD has always been to create a platform that empowers its users&mdash;whether you&rsquo;re a student pursuing academic growth, a professor sharing your wisdom, or a professional seeking cutting-edge solutions.&lt;/p&gt;&lt;p&gt;The revamped KLD website represents a fresh, user-friendly design that is not only visually appealing but also loaded with features designed to meet your needs:&lt;/p&gt;&lt;ul&gt;&lt;li&gt;&lt;strong&gt;For students&lt;/strong&gt;, we&rsquo;ve enhanced accessibility to resources, enabling you to learn faster, connect smarter, and grow without limits.&lt;/li&gt;&lt;li&gt;&lt;strong&gt;For our professors&lt;/strong&gt;, we&rsquo;ve streamlined tools to make your invaluable contributions more impactful and accessible to the wider audience.&lt;/li&gt;&lt;li&gt;&lt;strong&gt;For partners and collaborators&lt;/strong&gt;, our site offers a dynamic space to network and exchange innovative ideas.&lt;/li&gt;&lt;/ul&gt;&lt;p&gt;Every feature, every update, every pixel of this website was built with you in mind. Your feedback over the years has been our guiding light, and we&rsquo;ve worked tirelessly to incorporate suggestions, simplify processes, and deliver a seamless experience that reflects KLD&rsquo;s vision of excellence.&lt;/p&gt;&lt;p&gt;I want to take a moment to thank all the brilliant minds who made this website a reality. From developers and designers to content creators and strategists, your hard work and dedication have brought this dream to life.&lt;/p&gt;&lt;p&gt;But this is just the beginning. As we navigate this new chapter, we invite all of you to explore the website, engage with its features, and share your thoughts. Your continued input will help us grow even stronger together.&lt;/p&gt;&lt;p&gt;Let&rsquo;s celebrate this milestone as a reminder of what we can achieve when innovation meets collaboration. On behalf of everyone at KLD, I welcome you to the future of learning, discovery, and engagement.&lt;/p&gt;&lt;p&gt;Thank you, and let&rsquo;s make the most of this exciting new journey together!&lt;/p&gt;															";"[""1732439580_kldbuilding.jpg""]";1;"APPROVE";"2024-11-24 17:13:39"
2;"TEST YOUTUBE VIDEO";"&lt;p&gt;VIdeo of bruno mars and lady gaga please be inspired students&lt;/p&gt;&lt;p&gt;&lt;br&gt;&lt;/p&gt;&lt;p&gt;&lt;b&gt;DIE WITH A SMILE&lt;/b&gt;&lt;/p&gt;&lt;p&gt;&lt;b&gt;&lt;br&gt;&lt;/b&gt;&lt;/p&gt;&lt;p&gt;&lt;b&gt;https://www.youtube.com/watch?v=fnPxkuFIA48&lt;/b&gt;&lt;br&gt;&lt;/p&gt;";"null";1;"APPROVE";"2024-11-24 17:24:07"
3;"TESTING GDRIVE LINK";"&lt;p&gt;&lt;b&gt;GDRIVE LINK&lt;/b&gt;&lt;/p&gt;&lt;p&gt;&lt;b&gt;TEST PURPOSES :&amp;gt;&lt;/b&gt;&lt;/p&gt;&lt;p&gt;&lt;b&gt;https://drive.google.com/file/d/1HypZInsbz2Y-a0ZnufBGC0TBuNpN_y1m/view?usp=sharing&lt;/b&gt;&lt;br&gt;&lt;/p&gt;";"null";1;"DISAPPROVE";"2024-11-24 17:27:04"
4;"UPLOADING PICTURE TEST ";"&lt;b&gt;&lt;span style=&quot;font-size: 24px;&quot;&gt;GENSHIN IMPACT IS THE BEST GAME OF THE YEAR!!!!&lt;/span&gt;&lt;/b&gt;";"[""1732441020_download (2).jfif"",""1732441020_download (5).jfif"",""1732441020_download (4).jfif"",""1732441020_download.jfif"",""1732441020_download (3).jfif"",""1732441020_download (6).jfif"",""1732441020_download (1).jfif""]";1;"APPROVE";"2024-11-24 17:37:05"
5;"UPLOADING ONE IMAGE";"DBSABDSADABDSABDBSADBABDABDBSADBABDABDASBDBSADBSABDABDBADBABDABDBDBSABDSADABDSABDBSADBABDABDBSADBABDABDASBDBSADBSABDABDBADBABDABDBDBSABDSADABDSABDBSADBABDABDBSADBABDABDASBDBSADBSABDABDBADBABDABDBDBSABDSADABDSABDBSADBABDABDBSADBABDABDASBDBSADBSABDABDBADBABDABDBDBSABDSADABDSABDBSADBABDABDBSADBABDABDASBDBSADBSABDABDBADBABDABDBDBSABDSADABDSABDBSADBABDABDBSADBABDABDASBDBSADBSABDABDBADBABDABDBDBSABDSADABDSABDBSADBABDABDBSADBABDABDASBDBSADBSABDABDBADBABDABDBDBSABDSADABDSABDBSADBABDABDBSADBABDABDASBDBSADBSABDABDBADBABDABDBDBSABDSADABDSABDBSADBABDABDBSADBABDABDASBDBSADBSABDABDBADBABDABDBDBSABDSADABDSABDBSADBABDABDBSADBABDABDASBDBSADBSABDABDBADBABDABDBDBSABDSADABDSABDBSADBABDABDBSADBABDABDASBDBSADBSABDABDBADBABDABDBDBSABDSADABDSABDBSADBABDABDBSADBABDABDASBDBSADBSABDABDBADBABDABDBDBSABDSADABDSABDBSADBABDABDBSADBABDABDASBDBSADBSABDABDBADBABDABDBDBSABDSADABDSABDBSADBABDABDBSADBABDABDASBDBSADBSABDABDBADBABDABDBDBSABDSADABDSABDBSADBABDABDBSADBABDABDASBDBSADBSABDABDBADBABDABDBDBSABDSADABDSABDBSADBABDABDBSADBABDABDASBDBSADBSABDABDBADBABDABDBDBSABDSADABDSABDBSADBABDABDBSADBABDABDASBDBSADBSABDABDBADBABDABDBDBSABDSADABDSABDBSADBABDABDBSADBABDABDASBDBSADBSABDABDBADBABDABDBDBSABDSADABDSABDBSADBABDABDBSADBABDABDASBDBSADBSABDABDBADBABDABDB";"[""1732441440_download (2).jfif""]";4;"DISAPPROVE";"2024-11-24 17:44:31"
6;"TESTING PLEAS";"&lt;span style=&quot;font-family: &amp;quot;Segoe UI&amp;quot;;&quot;&gt;&lt;b&gt;WELCOME TO ISACECCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC&lt;/b&gt;&lt;/span&gt;";"[""1733216940_Isacec.jpg""]";1;"APPROVE";"2024-12-03 17:09:59"
7;"fdsf";"fsd";"[""1733217420_atlethe sample.jpg""]";1;"APPROVE";"2024-12-03 17:17:37"
8;"dsada";"das";"[""1733217780_kld.logo.png""]";1;"APPROVE";"2024-12-03 17:23:46"
9;"fsf";"fsdfs";"[""1733217900_atlethe sample.jpg""]";1;"DISAPPROVE";"2024-12-03 17:25:25"
10;"dd";"dsa";"null";1;"APPROVE";"2024-12-03 17:32:07"
11;"dsaasda";"dasd";"null";4;"APPROVE";"2024-12-03 17:34:42"
